index,label
0,mucilage
1,mucilage
2,mucilage
3,mucilage
4,clean_water
5,mucilage
6,clean_water
7,clean_water
8,clean_water
9,clean_water
10,mucilage
11,mucilage
12,mucilage
13,cloud
14,cloud
15,mucilage
16,clean_water
17,mucilage
18,mucilage
19,mucilage
20,outlier
21,clean_water
22,clean_water
23,mucilage
24,mucilage
25,clean_water
26,mucilage
27,mucilage
28,mucilage
29,clean_water
30,mucilage
31,clean_water
32,mucilage
33,clean_water
34,mucilage
35,mucilage
36,clean_water
37,clean_water
38,clean_water
39,clean_water
40,mucilage
41,outlier
42,mucilage
43,mucilage
44,mucilage
45,clean_water
46,mucilage
47,clean_water
48,mucilage
49,clean_water
50,outlier
51,outlier
52,clean_water
53,mucilage
54,outlier
55,mucilage
56,mucilage
57,mucilage
58,clean_water
59,clean_water
60,mucilage
61,mucilage
62,clean_water
63,cloud
64,mucilage
65,mucilage
66,mucilage
67,mucilage
68,outlier
69,mucilage
70,mucilage
71,mucilage
72,mucilage
73,mucilage
74,clean_water
75,mucilage
76,mucilage
77,mucilage
78,mucilage
79,clean_water
80,clean_water
81,clean_water
82,mucilage
83,clean_water
84,mucilage
85,clean_water
86,clean_water
87,sediment
88,mucilage
89,clean_water
91,clean_water
90,clean_water
92,mucilage
93,mucilage
94,mucilage
95,mucilage
96,clean_water
98,cloud
99,cloud
100,cloud
101,cloud
102,cloud
103,cloud
104,clean_water
105,cloud
106,sediment
107,outlier
108,cloud
109,clean_water
110,cloud
111,cloud
112,clean_water
113,cloud
114,outlier
115,cloud
116,cloud
117,cloud
118,cloud
119,cloud
120,cloud
121,cloud
122,outlier
123,cloud
124,cloud
125,outlier
126,cloud
127,cloud
128,cloud
129,outlier
130,outlier
131,mucilage
132,outlier
133,outlier
134,cloud
135,outlier
136,clean_water
137,clean_water
138,cloud
139,cloud
140,outlier
141,cloud
142,outlier
143,cloud
144,cloud
145,outlier
146,cloud
147,clean_water
148,cloud
149,cloud
150,cloud
151,clean_water
152,outlier
153,cloud
154,cloud
155,cloud
156,outlier
157,cloud
158,cloud
159,outlier
160,cloud
161,cloud
162,outlier
163,outlier
164,cloud
165,cloud
166,outlier
167,outlier
168,outlier
169,cloud
170,outlier
172,cloud
173,clean_water
174,cloud
175,outlier
176,cloud
177,clean_water
178,cloud
179,outlier
180,cloud
181,cloud
182,cloud
183,cloud
184,outlier
185,cloud
187,clean_water
188,cloud
189,outlier
190,outlier
191,cloud
192,clean_water
193,cloud
194,cloud
195,outlier
196,outlier
197,outlier
198,mucilage
199,clean_water
200,outlier
201,outlier
202,clean_water
203,outlier
204,outlier
205,clean_water
206,clean_water
207,clean_water
208,outlier
209,mucilage
210,outlier
211,outlier
212,clean_water
213,mucilage
214,mucilage
215,clean_water
216,clean_water
217,outlier
218,outlier
219,outlier
220,outlier
221,clean_water
222,outlier
223,mucilage
224,clean_water
225,mucilage
226,outlier
227,mucilage
228,outlier
229,outlier
230,mucilage
231,outlier
232,outlier
233,clean_water
234,outlier
235,mucilage
236,clean_water
237,mucilage
238,outlier
239,outlier
171,outlier
186,outlier
240,outlier
241,mucilage
242,outlier
243,mucilage
244,mucilage
245,clean_water
246,outlier
247,outlier
248,mucilage
249,outlier
250,outlier
251,clean_water
252,mucilage
253,mucilage
254,outlier
255,outlier
256,clean_water
257,clean_water
258,outlier
259,outlier
260,mucilage
261,mucilage
262,clean_water
263,clean_water
264,outlier
265,cloud
266,mucilage
267,mucilage
268,mucilage
269,mucilage
270,sediment
271,outlier
272,mucilage
273,clean_water
274,mucilage
275,mucilage
276,mucilage
277,outlier
278,outlier
279,outlier
280,outlier
281,outlier
282,sediment
283,sediment
284,outlier
285,clean_water
286,outlier
287,outlier
288,mucilage
289,outlier
290,outlier
291,clean_water
292,clean_water
293,outlier
294,clean_water
295,outlier
296,outlier
297,outlier
298,sediment
299,cloud
300,outlier
301,cloud
302,cloud
303,outlier
304,cloud
305,outlier
306,outlier
307,outlier
308,outlier
309,clean_water
310,cloud
311,outlier
312,outlier
313,outlier
314,outlier
316,outlier
317,cloud
318,outlier
321,outlier
322,cloud
323,outlier
324,outlier
325,outlier
326,cloud
328,outlier
329,outlier
330,cloud
331,cloud
332,cloud
333,sediment
334,outlier
335,cloud
336,mucilage
337,outlier
338,mucilage
339,outlier
340,cloud
341,cloud
342,outlier
343,outlier
