index,label
0,mucilage
1,mucilage
2,algae
3,mucilage
4,clean_water
5,algae
6,clean_water
7,clean_water
8,clean_water
9,clean_water
10,mucilage
11,algae
12,mucilage
15,mucilage
16,clean_water
17,mucilage
18,mucilage
19,mucilage
21,clean_water
22,clean_water
23,algae
24,mucilage
25,clean_water
26,mucilage
27,mucilage
28,mucilage
29,clean_water
30,mucilage
31,clean_water
32,mucilage
33,clean_water
34,mucilage
35,mucilage
36,algae
37,clean_water
38,clean_water
39,clean_water
40,mucilage
42,algae
43,mucilage
44,mucilage
45,clean_water
46,mucilage
47,clean_water
48,mucilage
49,clean_water
52,clean_water
53,mucilage
55,mucilage
56,algae
57,mucilage
58,clean_water
59,algae
60,algae
61,mucilage
62,clean_water
64,algae
65,mucilage
66,mucilage
67,algae
69,mucilage
70,mucilage
71,algae
72,algae
73,algae
74,clean_water
75,mucilage
76,mucilage
77,mucilage
78,algae
79,algae
80,algae
81,clean_water
82,mucilage
83,clean_water
84,mucilage
85,clean_water
86,clean_water
88,algae
89,clean_water
91,algae
90,clean_water
92,mucilage
93,mucilage
94,algae
95,algae
96,clean_water
104,clean_water
109,clean_water
112,clean_water
131,mucilage
136,clean_water
137,clean_water
147,clean_water
151,clean_water
173,clean_water
177,clean_water
187,clean_water
192,clean_water
198,mucilage
199,clean_water
202,clean_water
205,clean_water
206,clean_water
207,clean_water
209,mucilage
212,clean_water
213,mucilage
214,mucilage
215,clean_water
216,clean_water
221,algae
223,algae
224,clean_water
225,algae
227,mucilage
230,mucilage
233,clean_water
235,mucilage
236,clean_water
237,mucilage
243,mucilage
244,clean_water
251,algae
252,algae
256,clean_water
260,mucilage
261,clean_water
262,clean_water
266,algae
267,algae
268,mucilage
272,clean_water
273,algae
274,algae
275,mucilage
291,clean_water
309,clean_water
315,clean_water
319,clean_water
352,clean_water
355,clean_water
357,clean_water
358,clean_water
361,clean_water
367,clean_water
370,clean_water
372,clean_water
375,clean_water
377,clean_water
378,clean_water
379,clean_water
382,clean_water
383,clean_water
386,clean_water
389,clean_water
390,clean_water
393,clean_water
394,clean_water
395,clean_water
397,clean_water
398,clean_water
399,algae
400,clean_water
402,clean_water
404,clean_water
405,clean_water
391,clean_water
406,mucilage
407,clean_water
409,mucilage
413,clean_water
414,clean_water
415,clean_water
416,clean_water
417,clean_water
418,clean_water
419,algae
420,clean_water
422,clean_water
423,clean_water
425,clean_water
426,clean_water
427,algae
428,algae
429,clean_water
430,clean_water
433,clean_water
434,clean_water
435,clean_water
437,clean_water
440,algae
441,clean_water
443,mucilage
444,clean_water
445,clean_water
446,clean_water
447,clean_water
448,clean_water
449,clean_water
450,clean_water
451,clean_water
452,clean_water
455,mucilage
458,clean_water
459,mucilage
461,clean_water
463,clean_water
454,clean_water
464,clean_water
465,clean_water
466,clean_water
467,clean_water
468,clean_water
469,clean_water
470,clean_water
472,clean_water
473,clean_water
474,clean_water
476,clean_water
477,algae
478,clean_water
479,clean_water
480,clean_water
481,clean_water
482,clean_water
484,clean_water
485,clean_water
488,clean_water
489,algae
491,clean_water
492,clean_water
493,clean_water
495,algae
496,algae
497,clean_water
499,clean_water
500,clean_water
501,clean_water
502,clean_water
503,clean_water
504,clean_water
505,clean_water
506,clean_water
507,clean_water
509,clean_water
510,clean_water
511,clean_water
513,algae
515,clean_water
516,clean_water
517,clean_water
518,clean_water
519,algae
521,clean_water
523,clean_water
526,clean_water
527,clean_water
528,clean_water
529,algae
530,clean_water
532,clean_water
533,clean_water
534,algae
535,algae
536,clean_water
537,clean_water
538,algae
539,clean_water
540,clean_water
541,clean_water
542,clean_water
543,algae
544,clean_water
545,clean_water
546,clean_water
548,clean_water
549,clean_water
550,clean_water
552,algae
553,algae
554,clean_water
555,clean_water
556,algae
557,algae
558,clean_water
559,clean_water
498,clean_water
508,clean_water
512,algae
522,clean_water
547,clean_water
561,clean_water
562,algae
563,clean_water
567,clean_water
568,clean_water
569,clean_water
570,clean_water
571,clean_water
572,clean_water
573,clean_water
574,clean_water
575,algae
576,clean_water
577,clean_water
578,clean_water
579,algae
580,clean_water
581,clean_water
582,clean_water
583,clean_water
584,clean_water
586,clean_water
587,clean_water
591,clean_water
592,mucilage
593,clean_water
595,clean_water
596,clean_water
598,clean_water
599,clean_water
603,clean_water
604,clean_water
608,clean_water
610,clean_water
611,clean_water
614,clean_water
